Name	FileName	Target
GSE17951_1	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449150.CEL	Tumour
GSE17951_2	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449151.CEL	Tumour
GSE17951_3	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449160.CEL	Tumour
GSE17951_4	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449176.CEL	Tumour
GSE17951_5	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449189.CEL	Tumour
GSE17951_6	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449198.CEL	Tumour
GSE17951_7	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449227.CEL	Tumour
GSE17951_8	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449229.CEL	Tumour
GSE17951_9	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449230.CEL	Tumour
GSE17951_10	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449249.CEL	Normal
GSE17951_11	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449250.CEL	Normal
GSE17951_12	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449255.CEL	Normal
GSE17951_13	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449257.CEL	Normal
GSE17951_14	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449258.CEL	Normal
GSE17951_15	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449259.CEL	Normal
GSE17951_16	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449267.CEL	Normal
GSE17951_17	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449269.CEL	Normal
GSE17951_18	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449270.CEL	Normal
GSE17951_19	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449286.CEL	Normal
GSE17951_20	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449289.CEL	Normal
GSE17951_21	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449292.CEL	Normal
GSE17951_22	/Users/marzec01/Desktop/others/workshops/Lechu_Slowacja_bix_workshop_08_2016/workshop/data/CEL_files/GSE17951/GSM449293.CEL	Normal
